source_path,status,destination_or_note
05_tiles/TilesDungeon/TwoSideCorner1.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/TwoSideCorner1.png
05_tiles/TilesDungeon/WallUp.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/WallUp.png
05_tiles/TilesDungeon/Tile.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/Tile.png
05_tiles/TilesDungeon/Wall.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/Wall.png
05_tiles/TilesDungeon/TwoSideCorner.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/TwoSideCorner.png
05_tiles/TilesDungeon/WallRightEnd.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/WallRightEnd.png
05_tiles/TilesDungeon/WallRight.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/WallRight.png
05_tiles/TilesDungeon/Corner3.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/Corner3.png
05_tiles/TilesDungeon/Preview.JPG,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/Preview.JPG
05_tiles/TilesDungeon/Corner1.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/Corner1.png
05_tiles/TilesDungeon/TwoSideCorner2.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/TwoSideCorner2.png
05_tiles/TilesDungeon/WallDown.png,ADDED,02_TILES_AND_TERRAIN/TilesDungeon/WallDown.png
06_submissions/submission_daneeklu/tileset_preview.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tileset_preview.png
06_submissions/submission_daneeklu/ui_preview.png,ADDED,12_SOURCE/submissions/submission_daneeklu/ui_preview.png
06_submissions/submission_daneeklu/readme.txt,ADDED,12_SOURCE/submissions/submission_daneeklu/readme.txt
06_submissions/submission_daneeklu/magics_preview.gif,ADDED,12_SOURCE/submissions/submission_daneeklu/magics_preview.gif
06_submissions/submission_daneeklu/magic/turtleshell_side.png,ADDED,12_SOURCE/submissions/submission_daneeklu/magic/turtleshell_side.png
06_submissions/submission_daneeklu/magic/turtleshell_front.png,ADDED,12_SOURCE/submissions/submission_daneeklu/magic/turtleshell_front.png
06_submissions/submission_daneeklu/magic/magic_torrentacle.png,ADDED,12_SOURCE/submissions/submission_daneeklu/magic/magic_torrentacle.png
06_submissions/submission_daneeklu/magic/magic_firelion_sheet.png,ADDED,12_SOURCE/submissions/submission_daneeklu/magic/magic_firelion_sheet.png
06_submissions/submission_daneeklu/magic/magic_snakebite_sheet.png,ADDED,12_SOURCE/submissions/submission_daneeklu/magic/magic_snakebite_sheet.png
06_submissions/submission_daneeklu/magic/magic_firelion_big.png,ADDED,12_SOURCE/submissions/submission_daneeklu/magic/magic_firelion_big.png
06_submissions/submission_daneeklu/magic/magic_iceshield_sheet.png,ADDED,12_SOURCE/submissions/submission_daneeklu/magic/magic_iceshield_sheet.png
06_submissions/submission_daneeklu/tilesets/sandwater.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/sandwater.png
06_submissions/submission_daneeklu/tilesets/wheat.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/wheat.png
06_submissions/submission_daneeklu/tilesets/fence_alt.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/fence_alt.png
06_submissions/submission_daneeklu/tilesets/plowed_soil.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/plowed_soil.png
06_submissions/submission_daneeklu/tilesets/reed.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/reed.png
06_submissions/submission_daneeklu/tilesets/sand.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/sand.png
06_submissions/submission_daneeklu/tilesets/tallgrass.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/tallgrass.png
06_submissions/submission_daneeklu/tilesets/farming_fishing.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/farming_fishing.png
06_submissions/submission_daneeklu/tilesets/fence.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/fence.png
06_submissions/submission_daneeklu/tilesets/youngwheat.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/youngwheat.png
06_submissions/submission_daneeklu/tilesets/plants.png,ADDED,12_SOURCE/submissions/submission_daneeklu/tilesets/plants.png
06_submissions/submission_daneeklu/ui/scrollsandblocks.png,ADDED,12_SOURCE/submissions/submission_daneeklu/ui/scrollsandblocks.png
06_submissions/submission_daneeklu/character/grab_sheet.png,ADDED,12_SOURCE/submissions/submission_daneeklu/character/grab_sheet.png
06_submissions/submission_daneeklu/character/sword_sheet_128.png,ADDED,12_SOURCE/submissions/submission_daneeklu/character/sword_sheet_128.png
